Name of Public Body,"Type of Organization (Federal / Provincial Ministry, Division, Department, Autonomous Body, Government-owned Corporation, District Government)",Controlling Body (if any),Address(es),Contact Nos.,Fax Nos.,Website,Email Address(es),Key,Value,Key,Value,Key,Value
President’s Office,,,"Aiwan-e-Sadr, Islamabad","051-9010100, 051-9010200",,http://www.presidentofpakistan.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/President_of_Pakistan,Telephone List,http://www.presidentofpakistan.gov.pkgop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTMwOjkwODAvcG9wL0lubmVyUGFnZS5hc3B4P1BhZ2VfSUQ9MQ%3D%3D,,
Prime Minister’s Office,,,"P.M. Secretariat, Islamabad",051-9213988,,http://www.pmo.gov.pk,info@pmo.gov.pk ,Wikipedia,https://en.wikipedia.org/wiki/Prime_Minister_of_Pakistan,,,,
National Assembly of Pakistan,Constitutional Body,,"National Assembly Secretariat Parliament House, Islamabad","051-9221082, 051-9221082","051-9212691, 051-9221106",http://www.na.gov.pk,assembly@na.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/National_Assembly_of_Pakistan,Telephone List,http://www.na.gov.pk/en/content.php?id=76,,
Senate of Pakistan,Constitutional Body,,"Senate Secretariat, Parliament House, Islamabad",051- 9022022,,www.senate.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Senate_of_Pakistan,,,,
Supreme Court of Pakistan,Constitutional Body,,"Constitution Avenue, G-5/2 Islamabad","051-9220581, 051-9220600",051-9213452,www.supremecourt.gov.pk,mail@supremecourt.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Supreme_Court_of_Pakistan,,,,
Wafaqi Mohtasib,Constitutional Body,,"Wafaqi Mohtasib (Ombudsman) Secretariat, 36, Constituation Avenue, G-5/1, Opposite Supreme Court of Pakistan Islamabad","051-9217206, 051-9217210",051-9217224,http://www.mohtasib.gov.pk,"info@ombudsman.gov.pk, complaints@ombudsman.gov.pk",Wikipedia,https://en.wikipedia.org/wiki/Ombudsmen_in_Pakistan,Telephone List,http://www.mohtasib.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L3dhZmFxaW1vaC91c2VyZmlsZXMxL2ZpbGUvVGVsZXBob25lJTIwTm9zJTIwJTIwRS1tYWlsJTIwQWRkcmVzcyUyMG9mJTIwV01JJTIwNi0wMi0yMDE1LnBkZg%3D%3D,,
Cabinet Division,Federal Ministry / Division,-,"Cabinet Block, Islamabad","051-9213562, 051-9213562","051-9201357, 051-9201664",http://www.cabinet.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Cabinet_of_Pakistan,Telephone List,http://www.cabinet.gov.pkgop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L2NhYmluZXQvdXNlcmZpbGVzMS9maWxlL3RlbGUtbm92LTE0X3hscy5wZGY%3D,,
Establishment Division,Federal Ministry / Division,-,"Cabinet Block, Islamabad","051-9212118, 051-9208048","051-9207016, 051-9202048",http://www.establishment.gov.pk,contact@establishment.gov.pk,,,Telephone List,http://www.establishment.gov.pkgop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L2VzdGFiLy4vZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Climate Change,Federal Ministry / Division,-,,"051-9245759, 051-9245673","051-9245882, 051-9245758",http://www.mocc.gov.pk,,,,Telephone List,http://www.mocc.gov.pkgop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vY2xjLy4vZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTM%3D,,
Aviation Division,Federal Ministry / Division,-,,,,,,,,,,,
Ministry of Finance,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""Q"", Islamabad","051-9206382, 051-9203687","051- 9213780, 051-9213780",http://www.finance.gov.pk,so_coord1@finance.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Pakistan_Ministry_of_Finance,Telephone List,http://www.finance.gov.pk/phone.pdf,,
Economic Affairs Division,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""C"", Islamabad","051-9201682, 051-9212769",,http://www.ead.gov.pk,webmaster@ead.gov.pk,,,Telephone List,http://www.ead.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L2VhZC9mcm1EZXRhaWxzLmFzcHg%2Fb3B0PW1pc2MmaWQ9NQ%3D%3D,,
Revenue Division,Federal Ministry / Division,-,,,,,,,,,,,
Statistics Division,Federal Ministry / Division,-,"Building # 5, F-6/4, Blue Area, Islamabad",,,http://www.statistics.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Statistics_Division_of_the_Government_of_Pakistan,,,,
"Ministry of Planning, Development and Reforms",Federal Ministry / Division,-,"Pakistan Secretariat, Block ""P"", Islamabad","051-9206639, 051-9211147","051-9201777, 051-9213144",http://www.pc.gov.pk,contact@pc.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Planning_and_Development,Telephone List,http://www.pc.gov.pk/wp-content/uploads/2015/01/Tele-20141.doc,Email List,http://www.pc.gov.pk/wp-content/uploads/2014/11/2nd-Email_List_2014_with_Quota-2-20-11-2014-Copy.xlsx
Ministry of Commerce,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""A"", Islamabad","051-9205708, 051-9204548","051-9205241, 051-9208739",http://www.commerce.gov.pk,mincom@commerce.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Pakistan_Ministry_of_Commerce,Telephone List,http://www.commerce.gov.pk/?page_id=37,,
Ministry of Textile Industry,Federal Ministry / Division,-,,,,http://www.textile.gov.pk,,,,Telephone List,http://www.textile.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vdGkvZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Communications,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""D"", Islamabad","051-9205723, 051-9209973",,http://www.communication.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Communications_(Pakistan),Telephone List,http://www.communication.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vY2MvZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Defence,Federal Ministry / Division,-,,"051-9271139, 051-9271173","051-9221596, 051-9271115",http://www.mod.gov.pk,complaintcell@mod.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Pakistan_Ministry_of_Defence,Telephone List,http://www.mod.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vZC8uL2ZybURldGFpbHMuYXNweD9vcHQ9bWlzY2xpbmtzJmlkPTE5,,
Ministry of Foreign Affairs,Federal Ministry / Division,-,"Sector G-5/1, Islamabad","051-9210335, 051-9211942","051-9207600, 051-9207217",http://www.mofa.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Pakistan),Telephone List,http://www.mofa.gov.pk/content.php?pageID=telephonedir,,
Ministry of Housing & Works,Federal Ministry / Division,-,,"051-9209129, 051-9201794","051-9203172, 051-9202952",http://www.housing.gov.pk,info@mohw.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Housing_and_Works,Telephone List,http://www.housing.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTMwOjkwODAvbW9ody9mcm1EZXRhaWxzLmFzcHg%2Fb3B0PW1pc2MmaWQ9NQ%3D%3D,,
Ministry of Industries and Production,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""A"" & ""D"", Islamabad",051-9203711,051-9202165,http://moip.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Industries_and_Production_(Pakistan),,,,
"Ministry of Information, Broadcasting and National Heritage",Federal Ministry / Division,-,"Pakistan Secretariat, Cabinet Block, 4th Floor, Islamabad","051-9201089, 051-9206399",,http://infopak.gov.pk,webmaster@infopak.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Information_and_Broadcasting_(Pakistan),,,,
Ministry of Information Technology and Telecommunication,Federal Ministry / Division,-,"4th Floor, Evacuee Trust Complex, Agha Khan Road,F-5/1, Islamabad","051-9201990, 051-9209484","051-9205233, 051-9209482",http://www.moit.gov.pk,info@moitt.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Information_Technology_and_Telecommunication,Telephone List,http://www.moit.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vaXQvZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Inter Provincial Coordination,Federal Ministry / Division,-,,"051-9103600, 051-9103601","051-9103599, 051-9207760",http://www.ipc.gov.pk,trwingipc@gmail.com,,,Telephone List,http://www.ipc.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L2lwYy9mcm1EZXRhaWxzLmFzcHg%2Fb3B0PW1pc2MmaWQ9NQ%3D%3D,,
Ministry of Interior and Narcotics Control,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""R"", Islamabad","051-9212026, 051-9212026","051-9202624, 051-9202168",http://www.interior.gov.pk,,Wikipedia,https://en.wikipedia.org/wiki/Pakistan_Ministry_of_Interior,Telephone List,http://www.interior.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vaS9mcm1EZXRhaWxzLmFzcHg%2Fb3B0PW1pc2MmaWQ9NQ%3D%3D,,
Ministry of Kashmir Affairs and Gilgit Baltistan,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""R"", Islamabad","051-9209244, 051-9208442","051-9203022, 051-9214635",http://www.kana.gov.pk,contact@kana.gov.pk,,,Telephone List,http://www.kana.gov.pk/contactus.php?page_id=1,,
"Ministry of Law, Justice Law and Human Rights",Federal Ministry / Division,-,"Pakistan Secretariat, Block ""S"", Islamabad","051-9202400, 051-9201367",051-9201722,http://www.molaw.gov.pk,contact@molaw.gov.pk,Wikipedia,"https://en.wikipedia.org/wiki/Ministry_of_Law,_Justice_and_Human_Rights_(Pakistan)",Telephone List,http://www.molaw.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vbGF3Ly4vZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Petroleum & Natural Resources,Federal Ministry / Division,-,"Pakistan Secretariat, Block ""A"", Islamabad","051-9210220, 051-9219003","051-9206416, 051-9206416 ",http://www.mpnr.gov.pk,contact@mpnr.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Petroleum_and_Natural_Resources_(Pakistan),Telephone List,http://www.mpnr.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21wbnIvZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
Ministry of Ports and Shipping,Federal Ministry / Division,-,,"051-9210322, 051-9210344",,http://www.mops.gov.pk,contact@mops.gov.pk,Wikipedia,https://en.wikipedia.org/wiki/Ministry_of_Ports_and_Shipping,Telephone List,http://www.mops.gov.pk/gop/index.php?q=aHR0cDovLzE5Mi4xNjguNzAuMTM2L21vcHMvZnJtRGV0YWlscy5hc3B4P29wdD1taXNjJmlkPTU%3D,,
